"company","cik","city_business_address","zip_business_address","revenue","assets","stockholders_equity","net_income","roe","net_profit_margin","return_on_assets","leverage","Ticker","volatility"
"XYLEM INC.",1524472,"RYE BROOK","10573",5.249e+09,7.71e+09,2.957e+09,4.01e+08,0.135610415962124,0.0763955039055058,0.680804150453956,2.60737233682787,"XYL",0.0503301966895944
"ECOLAB INC.",31462,"SAINT PAUL","55102",14906300000,20869100000,8685300000,NA,NA,NA,0.714276130738748,2.40280704178324,"ECL",0.0556579958449944
"DOMINION ENERGY SOUTH CAROLINA, INC.",91882,"CAYCE","29033",4e+06,1.4301e+10,3.712e+09,-1.239e+09,-0.333782327586207,-309.75,0.000279700720229355,3.8526400862069,"SCG",0
"STERICYCLE INC",861878,"BANNOCKBURN","60015",3308900000,6.437e+09,2330900000,-346800000,-0.148783731605817,-0.104808244431684,0.514043809227901,2.76159423398687,"SRCL",0.0618169040838315
"NUCOR CORP",73309,"CHARLOTTE","28211",22588858000,18344666000,10357866000,1271143000,0.122722479707693,0.0562730085779458,1.2313583686942,1.77108547262535,"NUE",0.0526386901738481
"BLACKROCK INC.",1364742,"NEW YORK","10055",1.4539e+10,1.68622e+11,3.3547e+10,4.476e+09,0.133424747369362,0.307861613591031,0.0862224383532398,5.02644051629058,"BLK",0.0579100526179049
"PROGRESSIVE CORP/OH/",80661,"MAYFIELD VILLAGE","44143",39022300000,54895300000,13673200000,3970300000,0.290370944621596,0.101744387183739,0.710849562713019,4.01480999327151,"PGR",0.0386469943408674
"APACHE CORP",6769,"HOUSTON","77056-4400",6.411e+09,1.8107e+10,3.255e+09,NA,NA,NA,0.354061964985917,5.56282642089094,"APA",0.135126186133108
"PNC FINANCIAL SERVICES GROUP, INC.",713676,"PITTSBURGH","15222-2401",1.7827e+10,4.10295e+11,4.9314e+10,NA,NA,NA,0.043449225557221,8.32005110110719,"PNC",0.0649116041911917
"DENTSPLY SIRONA INC.",818479,"CHARLOTTE","28277-3607",4029200000,8602900000,5092500000,262900000,0.0516249386352479,0.0652486846024025,0.468353694684351,1.68932744231713,"XRAY",0.0464443098101056
"INVESCO LTD.",914208,"ATLANTA","30309",6117400000,39420300000,13862500000,564700000,0.0407357980162308,0.092310458691601,0.155184004180587,2.84366456266907,"IVZ",0.0806481858193074
"FIFTH THIRD BANCORP",35527,"CINCINNATI","45263",NA,1.69369e+11,2.1203e+10,2.512e+09,0.118473800877234,NA,NA,7.98797339999057,"FITB",0.0815471392668941
"HUNT J B TRANSPORT SERVICES INC",728535,"LOWELL","72745",NA,5470854000,2267029000,516320000,0.227751828494474,NA,NA,2.41322629750215,"JBHT",0.0447847333738608
"DIGITAL REALTY TRUST, INC.",1297996,"SAN FRANCISCO","94111",3209241000,23068131000,9879312000,579761000,0.0586843496794109,0.180653618721685,0.139120113371994,2.3349936716241,"DLR",0.0486249584004655
"PEOPLE'S UNITED FINANCIAL, INC.",1378946,"BRIDGEPORT","06604",NA,58589800000,7947200000,520400000,0.0654821824038655,NA,NA,7.37238272599154,"PBCT",0.0631428405451257
"BOSTON PROPERTIES INC",1037540,"BOSTON","02199",2960562000,21284905000,5684687000,521534000,0.0917436615243724,0.176160472234664,0.139092093669199,3.74425276184951,"BXP",0.0574670650534532
"INTERNATIONAL FLAVORS & FRAGRANCES INC",51253,"NEW YORK","10019",5140084000,13287411000,6217304000,NA,NA,NA,0.386838639972828,2.13716604496097,"IFF",0.0464762282920698
"CROWN CASTLE INTERNATIONAL CORP",1051470,"HOUSTON","77057",5.763e+09,3.8457e+10,NA,NA,NA,NA,0.149855682970591,NA,"CCI",0.0473101245083682
"BAXTER INTERNATIONAL INC",10456,"DEERFIELD","60015",1.1362e+10,1.8193e+10,7.882e+09,1.001e+09,0.126998223801066,0.0881006864988558,0.624525916561315,2.30817051509769,"BAX",0.0428189477325729
"MILESTONE SCIENTIFIC INC.",855683,"LIVINGSTON","07039",NA,6556289,1695921,-7524368,-4.43674440024034,NA,NA,3.86591651379988,"MS",0.0679187044425134
